,Player Names,Player Salaries
593,Ersan Ilyasova,"$151,821"
594,Darren Collison,"$151,552"
595,Anthony Tolliver,"$146,233"
596,Chaundee Brown,"$138,019"
597,Xavier Sneed,"$136,095"
598,Mario Chalmers,"$127,622"
599,Anthony Lamb,"$122,741"
600,Braxton Key,"$116,987"
601,Troy Williams,"$111,670"
602,Feron Hunt,"$111,669"
603,Mac McClung,"$111,457"
604,Matt Ryan,"$106,352"
605,Emmanuel Mudiay,"$106,352"
606,Carlik Jones,"$106,352"
607,Hassani Gravett,"$102,831"
608,Paris Bass,"$102,831"
609,Jordan Bell,"$101,034"
610,Cheick Diallo,"$96,213"
611,DJ Stewart,"$95,930"
612,Nate Hinton,"$95,930"
613,Derrick Walton,"$95,930"
614,DaQuan Jeffries,"$95,930"
615,Justin James,"$95,930"
616,Scotty Hopson,"$95,930"
617,BJ Johnson,"$92,857"
618,Jaylen Morris,"$85,578"
619,Demetrius Jackson,"$85,578"
620,Chris Clemons,"$85,578"
621,Cameron Oliver,"$85,578"
622,Malik Newman,"$85,578"
623,George King,"$85,578"
624,Jemerrio Jones,"$85,081"
625,Emanuel Terry,"$79,764"
626,Jared Harper,"$53,176"
627,Gabriel Lundberg,"$53,176"
628,Anthony Barber,"$53,176"
629,Malik Ellison,"$53,176"
630,Justin Tillman,"$53,176"
631,Tre Scott,"$53,176"
632,Jaysean Paige,"$53,176"
633,Trayvon Palmer,"$53,176"
634,Micah Potter,"$53,176"
635,Ahmad Caver,"$53,176"
636,Shaq Buchanan,"$53,176"
637,Jon Teske,"$53,176"
638,Aric Holman,"$53,176"
639,Javin DeLaurier,"$53,176"
640,Tyler Hall,"$53,176"
641,Rob Edwards,"$53,176"
642,Aleem Ford,"$53,176"
643,MJ Walker,"$53,176"
644,Jarron Cumberland,"$53,176"
645,Cameron McGriff,"$53,176"
646,Ade Murkey,"$53,176"
647,Jaime Echenique,"$53,176"
648,Jordan Goodwin,"$53,176"
649,Jordan Schakel,"$42,789"
650,Craig Sword,"$37,223"
651,Luca Vildoza,"$19,186"
652,Zavier Simpson,"$13,294"
653,Mfiondu Kabengele,
654,Melvin Frazier,
