,Player Names,Player Salaries
471,Vit Krejci,"$925,258"
472,Charles Bassey,"$925,258"
473,Greg Brown,"$925,258"
474,Jock Landale,"$925,258"
475,Jared Butler,"$925,258"
476,Luka Garza,"$925,258"
477,Dalano Banton,"$923,078"
478,Daishen Nix,"$910,926"
479,Isaiah Thomas,"$895,125"
480,Terry Taylor,"$869,078"
481,Mamadi Diakite,"$844,011"
482,Caleb Martin,"$814,918"
483,Brad Wanamaker,"$812,364"
484,Luke Kornet,"$812,363"
485,Wayne Selden,"$811,213"
486,Gary Clark,"$774,727"
487,Ryan Arcidiacono,"$768,830"
488,Trendon Watford,"$737,067"
489,Patrick Patterson,"$726,128"
490,Devontae Cacok,"$723,741"
491,Admiral Schofield,"$707,893"
492,Ishmail Wainright,"$666,666"
493,Shaun Livingston,"$630,874"
494,Malik Fitts,"$619,498"
495,Sam Hauser,"$612,805"
496,Greg Monroe,"$573,576"
497,Amir Coffey,"$563,663"
498,Joe Wieskamp,"$558,345"
499,Keifer Sykes,"$547,701"
500,Haywood Highsmith,"$534,993"
501,Nik Stauskas,"$532,398"
502,Davon Reed,"$522,015"
503,Wenyen Gabriel,"$510,907"
504,Skylar Mays,"$499,852"
505,Georgios Kalaitzakis,"$491,876"
506,RJ Nembhard,"$479,650"
507,Chris Silva,"$463,211"
508,Kessler Edwards,"$463,211"
509,Trent Forrest,"$462,629"
510,Sharife Cooper,"$462,629"
511,Brodric Thomas,"$462,629"
512,David Duke,"$462,629"
513,Arnoldas Kulboka,"$462,629"
514,Scottie Lewis,"$462,629"
515,Tyler Cook,"$462,629"
516,Markus Howard,"$462,629"
517,Jamorko Pickett,"$462,629"
518,Sean Chris Smith,"$462,629"
519,Chris Chiozza,"$462,629"
520,Jay Scrubb,"$462,629"
521,Yves Pons,"$462,629"
522,Sandro Mamukelashvili,"$462,629"
523,Nathan Knight,"$462,629"
524,McKinley Wright,"$462,629"
525,Jericho Sims,"$462,629"
526,Ignas Brazdeikis,"$462,629"
527,Keljin Blevins,"$462,629"
528,Neemias Queta,"$462,629"
529,Justin Champagnie,"$462,629"
530,David Johnson,"$462,629"
531,Joel Ayayi,"$462,629"
532,Cassius Winston,"$445,828"
533,Justin Anderson,"$440,710"
534,Theo Pinson,"$431,151"
535,Charlie Brown,"$386,127"
536,James Ennis,"$386,127"
537,Langston Galloway,"$386,127"
538,Tim Frazier,"$383,079"
539,Kyle Guy,"$350,000"
540,Sam Dekker,"$346,491"
541,Quinndary Weatherspoon,"$343,988"
542,Brandon Goodwin,"$324,373"
543,Malcolm Hill,"$316,396"
544,Louis King,"$308,493"
545,Justin Jackson,"$308,493"
546,Shaquille Harrison,"$308,493"
547,DJ Wilson,"$305,761"
548,Jeff Dowtin,"$303,102"
549,Trevelin Queen,"$303,102"
550,Paul Watson,"$300,443"
551,Myles Powell,"$300,000"
552,Jontay Porter,"$295,125"
553,Mason Jones,"$281,831"
554,Eugene Omoruyi,"$274,672"
555,Brandon Knight,"$265,953"
556,Justin Robinson,"$265,878"
557,Ja'Vonte Smart,"$257,902"
558,Mychal Mulder,"$257,418"
559,Tyler Johnson,"$256,734"
560,Cassius Stanley,"$256,734"
561,Zylan Cheatham,"$239,291"
562,Devon Dotson,"$236,632"
563,Marcus Garrett,"$233,973"
564,Lindell Wigginton,"$225,997"
565,Jay Huff,"$223,339"
566,Olivier Sarr,"$223,338"
567,Aaron Henry,"$221,156"
568,Freddie Gillespie,"$220,679"
569,JaQuori McLaughlin,"$220,639"
570,Rayjon Tucker,"$218,021"
571,Tacko Fall,"$218,021"
572,Petr Cornelie,"$211,046"
573,Juwan Morgan,"$205,662"
574,Damyean Dotson,"$202,069"
575,Xavier Moon,"$198,760"
576,Tyrone Wallace,"$191,860"
577,Norvel Pelle,"$191,860"
578,Jaylen Hoard,"$191,860"
579,Tremont Waters,"$188,272"
580,Reggie Perry,"$185,578"
581,Devin Cannady,"$180,798"
582,Brandon Williams,"$172,821"
583,Moses Wright,"$172,821"
584,DeJon Jarreau,"$171,156"
585,Dakota Mathias,"$171,156"
586,Matt Mooney,"$167,504"
587,Daulton Hommes,"$162,186"
588,Grant Riller,"$159,527"
589,Lindy Waters III,"$151,821"
590,Joe Johnson,"$151,821"
591,CJ Miles,"$151,821"
592,Ersan Ilyasova,"$151,821"
593,Darren Collison,"$151,821"
594,Anthony Tolliver,"$151,552"
595,Chaundee Brown,"$146,233"
596,Xavier Sneed,"$138,019"
597,Mario Chalmers,"$136,095"
598,Anthony Lamb,"$127,622"
599,Braxton Key,"$122,741"
600,Troy Williams,"$116,987"
601,Feron Hunt,"$111,670"
602,Mac McClung,"$111,669"
603,Matt Ryan,"$111,457"
604,Emmanuel Mudiay,"$106,352"
605,Carlik Jones,"$106,352"
606,Hassani Gravett,"$106,352"
607,Paris Bass,"$102,831"
608,Jordan Bell,"$102,831"
609,Cheick Diallo,"$101,034"
610,DJ Stewart,"$96,213"
611,Nate Hinton,"$95,930"
612,Derrick Walton,"$95,930"
613,DaQuan Jeffries,"$95,930"
614,Justin James,"$95,930"
615,Scotty Hopson,"$95,930"
616,BJ Johnson,"$95,930"
617,Jaylen Morris,"$92,857"
618,Demetrius Jackson,"$85,578"
619,Chris Clemons,"$85,578"
620,Cameron Oliver,"$85,578"
621,Malik Newman,"$85,578"
622,George King,"$85,578"
623,Jemerrio Jones,"$85,578"
624,Emanuel Terry,"$85,081"
625,Jared Harper,"$79,764"
626,Gabriel Lundberg,"$53,176"
627,Anthony Barber,"$53,176"
628,Malik Ellison,"$53,176"
629,Justin Tillman,"$53,176"
630,Tre Scott,"$53,176"
631,Jaysean Paige,"$53,176"
632,Trayvon Palmer,"$53,176"
633,Micah Potter,"$53,176"
634,Ahmad Caver,"$53,176"
635,Shaq Buchanan,"$53,176"
636,Jon Teske,"$53,176"
637,Aric Holman,"$53,176"
638,Javin DeLaurier,"$53,176"
639,Tyler Hall,"$53,176"
640,Rob Edwards,"$53,176"
641,Aleem Ford,"$53,176"
642,MJ Walker,"$53,176"
643,Jarron Cumberland,"$53,176"
644,Cameron McGriff,"$53,176"
645,Ade Murkey,"$53,176"
646,Jaime Echenique,"$53,176"
647,Jordan Goodwin,"$53,176"
648,Jordan Schakel,"$53,176"
649,Craig Sword,"$42,789"
650,Luca Vildoza,"$37,223"
651,Zavier Simpson,"$19,186"
652,Mfiondu Kabengele,"$13,294"
653,Melvin Frazier,
